,session_start,session_end
322,2017-06-04 19:10:00,2017-06-04 19:10:00
323,2017-06-04 19:25:00,2017-06-04 19:30:00
324,2017-06-04 19:40:00,2017-06-04 19:45:00
325,2017-06-05 00:10:00,2017-06-05 00:20:00
326,2017-06-05 13:30:00,2017-06-05 13:35:00
327,2017-06-05 13:45:00,2017-06-05 14:10:00
328,2017-06-05 14:20:00,2017-06-05 14:30:00
329,2017-06-06 14:20:00,2017-06-06 14:55:00
330,2017-06-06 15:05:00,2017-06-06 15:05:00
331,2017-06-06 15:25:00,2017-06-06 15:25:00
332,2017-06-06 16:45:00,2017-06-06 16:45:00
333,2017-06-08 08:30:00,2017-06-08 08:35:00
334,2017-06-08 08:50:00,2017-06-08 08:50:00
335,2017-06-08 10:15:00,2017-06-08 10:20:00
336,2017-06-08 10:45:00,2017-06-08 10:45:00
337,2017-06-08 16:30:00,2017-06-09 03:35:00
338,2017-06-12 12:30:00,2017-06-12 14:25:00
339,2017-06-12 14:40:00,2017-06-12 14:50:00
340,2017-06-12 15:00:00,2017-06-12 15:15:00
341,2017-06-12 15:40:00,2017-06-12 16:25:00
342,2017-06-12 16:45:00,2017-06-12 16:45:00
343,2017-06-12 19:00:00,2017-06-12 19:00:00
344,2017-06-14 01:30:00,2017-06-14 07:10:00
345,2017-06-14 07:25:00,2017-06-14 07:30:00
346,2017-06-14 07:40:00,2017-06-14 07:40:00
347,2017-06-14 11:30:00,2017-06-14 12:10:00
348,2017-06-14 12:20:00,2017-06-14 12:20:00
349,2017-06-14 12:30:00,2017-06-14 12:30:00
350,2017-06-16 19:25:00,2017-06-16 21:00:00
351,2017-06-16 21:10:00,2017-06-16 21:20:00
352,2017-06-16 21:45:00,2017-06-16 22:55:00
353,2017-06-16 23:05:00,2017-06-16 23:20:00
354,2017-06-16 23:35:00,2017-06-16 23:35:00
355,2017-06-16 23:50:00,2017-06-16 23:50:00
356,2017-06-17 00:05:00,2017-06-17 00:05:00
357,2017-06-19 17:30:00,2017-06-19 19:10:00
358,2017-06-20 10:05:00,2017-06-20 10:05:00
359,2017-06-22 05:15:00,2017-06-22 05:15:00
360,2017-06-22 06:05:00,2017-06-22 07:15:00
361,2017-06-22 07:50:00,2017-06-22 07:50:00
362,2017-06-24 06:15:00,2017-06-24 06:15:00
363,2017-06-24 20:25:00,2017-06-24 21:20:00
364,2017-06-25 09:05:00,2017-06-25 09:35:00
